assessment_id,employee_id,competency,score,assessment_type,assessment_date,notes,organization_id
1,1,Technical Leadership,4.2,self,2025-03-28,Self assessment for Technical Leadership,2
2,1,Software Architecture,3.9,self,2025-03-28,Self assessment for Software Architecture,2
3,1,Development Practices,3.9,self,2025-03-28,Self assessment for Development Practices,2
4,1,Problem Solving,4.3,self,2025-03-28,Self assessment for Problem Solving,2
5,1,Communication,5.0,self,2025-03-28,Self assessment for Communication,2
6,2,Technical Leadership,4.5,self,2025-03-28,Self assessment for Technical Leadership,2
7,2,Software Architecture,4.2,self,2025-03-28,Self assessment for Software Architecture,2
8,2,Development Practices,4.0,self,2025-03-28,Self assessment for Development Practices,2
9,2,Problem Solving,4.3,self,2025-03-28,Self assessment for Problem Solving,2
10,2,Communication,5.0,self,2025-03-28,Self assessment for Communication,2
11,3,Technical Leadership,4.5,self,2025-03-28,Self assessment for Technical Leadership,2
12,3,Software Architecture,4.3,self,2025-03-28,Self assessment for Software Architecture,2
13,3,Development Practices,4.2,self,2025-03-28,Self assessment for Development Practices,2
14,3,Problem Solving,4.7,self,2025-03-28,Self assessment for Problem Solving,2
15,3,Communication,5.0,self,2025-03-28,Self assessment for Communication,2
16,4,Technical Leadership,2.7,self,2025-03-28,Self assessment for Technical Leadership,2
17,4,Software Architecture,3.2,self,2025-03-28,Self assessment for Software Architecture,2
18,4,Development Practices,3.5,self,2025-03-28,Self assessment for Development Practices,2
19,4,Problem Solving,3.4,self,2025-03-28,Self assessment for Problem Solving,2
20,4,Communication,3.1,self,2025-03-28,Self assessment for Communication,2
21,5,Technical Leadership,3.7,self,2025-03-28,Self assessment for Technical Leadership,2
22,5,Software Architecture,3.6,self,2025-03-28,Self assessment for Software Architecture,2
23,5,Development Practices,4.0,self,2025-03-28,Self assessment for Development Practices,2
24,5,Problem Solving,3.9,self,2025-03-28,Self assessment for Problem Solving,2
25,5,Communication,3.8,self,2025-03-28,Self assessment for Communication,2
26,6,Technical Leadership,4.2,self,2025-03-28,Self assessment for Technical Leadership,2
27,6,Software Architecture,4.2,self,2025-03-28,Self assessment for Software Architecture,2
28,6,Development Practices,4.1,self,2025-03-28,Self assessment for Development Practices,2
29,6,Problem Solving,4.6,self,2025-03-28,Self assessment for Problem Solving,2
30,6,Communication,4.4,self,2025-03-28,Self assessment for Communication,2
31,7,Technical Leadership,4.5,self,2025-03-28,Self assessment for Technical Leadership,2
32,7,Software Architecture,4.7,self,2025-03-28,Self assessment for Software Architecture,2
33,7,Development Practices,4.7,self,2025-03-28,Self assessment for Development Practices,2
34,7,Problem Solving,4.5,self,2025-03-28,Self assessment for Problem Solving,2
35,7,Communication,4.8,self,2025-03-28,Self assessment for Communication,2
36,8,Technical Leadership,4.5,self,2025-03-28,Self assessment for Technical Leadership,2
37,8,Software Architecture,5.0,self,2025-03-28,Self assessment for Software Architecture,2
38,8,Development Practices,4.9,self,2025-03-28,Self assessment for Development Practices,2
39,8,Problem Solving,4.5,self,2025-03-28,Self assessment for Problem Solving,2
40,8,Communication,4.9,self,2025-03-28,Self assessment for Communication,2
41,9,Technical Leadership,4.8,self,2025-03-28,Self assessment for Technical Leadership,2
42,9,Software Architecture,4.4,self,2025-03-28,Self assessment for Software Architecture,2
43,9,Development Practices,4.0,self,2025-03-28,Self assessment for Development Practices,2
44,9,Problem Solving,4.1,self,2025-03-28,Self assessment for Problem Solving,2
45,9,Communication,4.5,self,2025-03-28,Self assessment for Communication,2
46,10,Technical Leadership,5.0,self,2025-03-28,Self assessment for Technical Leadership,2
47,10,Software Architecture,4.8,self,2025-03-28,Self assessment for Software Architecture,2
48,10,Development Practices,4.7,self,2025-03-28,Self assessment for Development Practices,2
49,10,Problem Solving,4.6,self,2025-03-28,Self assessment for Problem Solving,2
50,10,Communication,4.5,self,2025-03-28,Self assessment for Communication,2
51,11,Technical Leadership,5.0,self,2025-03-28,Self assessment for Technical Leadership,2
52,11,Software Architecture,5.0,self,2025-03-28,Self assessment for Software Architecture,2
