job_level,competency,expected_score
1,Expertise,1.5
1,Decision Making,1.5
1,Continuous Improvement,2.0
1,Accountability,2.0
1,Initiative,2.0
1,Personal Development,1.5
1,Collaboration,2.5
1,Communication,2.0
1,Open Minded,2.5
2,Expertise,2.0
2,Decision Making,2.5
2,Continuous Improvement,3.0
2,Accountability,2.5
2,Initiative,3.0
2,Personal Development,2.5
2,Collaboration,2.5
2,Communication,2.5
2,Open Minded,2.0
IC4 - Staff,Expertise,4.0
IC4 - Staff,Decision Making,4.5
IC4 - Staff,Continuous Improvement,4.0
IC4 - Staff,Accountability,4.5
IC4 - Staff,Initiative,4.5
IC4 - Staff,Personal Development,4.5
IC4 - Staff,Collaboration,4.5
IC4 - Staff,Communication,5.0
IC4 - Staff,Open Minded,4.5
IC3 - Senior,Expertise,3.5
IC3 - Senior,Continuous Improvement,3.0
IC3 - Senior,Accountability,3.5
IC3 - Senior,Decision Making,3.0
IC3 - Senior,Initiative,3.5
IC3 - Senior,Collaboration,3.5
IC3 - Senior,Communication,3.5
IC3 - Senior,Open Minded,3.5
IC3 - Senior,Personal Development,3.0
