assessment_id,employee_id,competency,skill,score,assessment_type,assessment_date,notes,organization_id
1,1,Expertise,Visual Design,4.5,self,2025-03-21,Self assessment for Visual Design,
2,1,Decision Making,Interaction Design,3.1,self,2025-03-21,Self assessment for Interaction Design,
3,1,Continuous Improvement,Design Systems and A11y,2.3,self,2025-03-21,Self assessment for Design Systems and A11y,
4,1,Accountability,UX Strategy,4.2,self,2025-03-21,Self assessment for UX Strategy,
5,1,Initiative,User Testing and Validation,5.0,self,2025-03-21,Self assessment for User Testing and Validation,
6,1,Personal Development,Influence,4.7,self,2025-03-21,Self assessment for Influence,
7,1,Collaboration,Cross-Functional Collaboration,3.9,self,2025-03-21,Self assessment for Cross-Functional Collaboration,
8,1,Communication,Competitive Analysis,4.6,self,2025-03-21,Self assessment for Competitive Analysis,
9,1,Open Minded,Resource Management and Operations,4.0,self,2025-03-21,Self assessment for Resource Management and Operations,
10,1,Expertise,Visual Design,4.5,manager,2025-03-21,Manager assessment for Visual Design,
11,1,Decision Making,Interaction Design,3.6,manager,2025-03-21,Manager assessment for Interaction Design,
12,1,Continuous Improvement,Design Systems and A11y,4.5,manager,2025-03-21,Manager assessment for Design Systems and A11y,
13,1,Accountability,UX Strategy,4.5,manager,2025-03-21,Manager assessment for UX Strategy,
14,1,Initiative,User Testing and Validation,4.5,manager,2025-03-21,Manager assessment for User Testing and Validation,
15,1,Personal Development,Influence,4.8,manager,2025-03-21,Manager assessment for Influence,
16,1,Collaboration,Cross-Functional Collaboration,3.6,manager,2025-03-21,Manager assessment for Cross-Functional Collaboration,
17,1,Communication,Competitive Analysis,4.4,manager,2025-03-21,Manager assessment for Competitive Analysis,
18,1,Open Minded,Resource Management and Operations,3.8,manager,2025-03-21,Manager assessment for Resource Management and Operations,
19,2,Expertise,Visual Design,4.6,self,2025-03-21,Self assessment for Visual Design,
20,2,Decision Making,Interaction Design,4.1,self,2025-03-21,Self assessment for Interaction Design,
21,2,Continuous Improvement,Design Systems and A11y,3.6,self,2025-03-21,Self assessment for Design Systems and A11y,
22,2,Accountability,UX Strategy,2.6,self,2025-03-21,Self assessment for UX Strategy,
23,2,Initiative,User Testing and Validation,3.8,self,2025-03-21,Self assessment for User Testing and Validation,
24,2,Personal Development,Influence,4.0,self,2025-03-21,Self assessment for Influence,
25,2,Collaboration,Cross-Functional Collaboration,4.2,self,2025-03-21,Self assessment for Cross-Functional Collaboration,
26,2,Communication,Competitive Analysis,5.0,self,2025-03-21,Self assessment for Competitive Analysis,
27,2,Open Minded,Resource Management and Operations,5.0,self,2025-03-21,Self assessment for Resource Management and Operations,
28,3,Expertise,Visual Design,2.9,self,2025-03-21,Self assessment for Visual Design,
29,3,Decision Making,Interaction Design,2.4,self,2025-03-21,Self assessment for Interaction Design,
30,3,Continuous Improvement,Design Systems and A11y,2.1,self,2025-03-21,Self assessment for Design Systems and A11y,
31,3,Accountability,UX Strategy,2.5,self,2025-03-21,Self assessment for UX Strategy,
32,3,Initiative,User Testing and Validation,2.7,self,2025-03-21,Self assessment for User Testing and Validation,
33,3,Personal Development,Influence,2.6,self,2025-03-21,Self assessment for Influence,
34,3,Collaboration,Cross-Functional Collaboration,3.2,self,2025-03-21,Self assessment for Cross-Functional Collaboration,
35,3,Communication,Competitive Analysis,2.5,self,2025-03-21,Self assessment for Competitive Analysis,
36,3,Open Minded,Resource Management and Operations,2.2,self,2025-03-21,Self assessment for Resource Management and Operations,
37,4,Expertise,Visual Design,4.2,self,2025-03-21,Self assessment for Visual Design,
38,4,Decision Making,Interaction Design,3.7,self,2025-03-21,Self assessment for Interaction Design,
39,4,Continuous Improvement,Design Systems and A11y,3.7,self,2025-03-21,Self assessment for Design Systems and A11y,
40,4,Accountability,UX Strategy,3.7,self,2025-03-21,Self assessment for UX Strategy,
41,4,Initiative,User Testing and Validation,3.4,self,2025-03-21,Self assessment for User Testing and Validation,
42,4,Personal Development,Influence,4.8,self,2025-03-21,Self assessment for Influence,
43,4,Collaboration,Cross-Functional Collaboration,3.6,self,2025-03-21,Self assessment for Cross-Functional Collaboration,
44,4,Communication,Competitive Analysis,2.9,self,2025-03-21,Self assessment for Competitive Analysis,
45,4,Open Minded,Resource Management and Operations,3.5,self,2025-03-21,Self assessment for Resource Management and Operations,
46,4,Expertise,Visual Design,2.7,manager,2025-03-21,Manager assessment for Visual Design,
47,4,Decision Making,Interaction Design,3.3,manager,2025-03-21,Manager assessment for Interaction Design,
48,4,Continuous Improvement,Design Systems and A11y,4.3,manager,2025-03-21,Manager assessment for Design Systems and A11y,
49,4,Accountability,UX Strategy,3.4,manager,2025-03-21,Manager assessment for UX Strategy,
50,4,Initiative,User Testing and Validation,2.9,manager,2025-03-21,Manager assessment for User Testing and Validation,
51,4,Personal Development,Influence,5.0,manager,2025-03-21,Manager assessment for Influence,
52,4,Collaboration,Cross-Functional Collaboration,3.1,manager,2025-03-21,Manager assessment for Cross-Functional Collaboration,
53,4,Communication,Competitive Analysis,5.0,manager,2025-03-21,Manager assessment for Competitive Analysis,
54,4,Open Minded,Resource Management and Operations,4.0,manager,2025-03-21,Manager assessment for Resource Management and Operations,
55,5,Expertise,Visual Design,3.8,self,2025-03-21,Self assessment for Visual Design,
56,5,Decision Making,Interaction Design,3.3,self,2025-03-21,Self assessment for Interaction Design,
57,5,Continuous Improvement,Design Systems and A11y,4.2,self,2025-03-21,Self assessment for Design Systems and A11y,
58,5,Accountability,UX Strategy,2.9,self,2025-03-21,Self assessment for UX Strategy,
59,5,Initiative,User Testing and Validation,3.3,self,2025-03-21,Self assessment for User Testing and Validation,
60,5,Personal Development,Influence,4.1,self,2025-03-21,Self assessment for Influence,
61,5,Collaboration,Cross-Functional Collaboration,5.0,self,2025-03-21,Self assessment for Cross-Functional Collaboration,
62,5,Communication,Competitive Analysis,4.4,self,2025-03-21,Self assessment for Competitive Analysis,
63,5,Open Minded,Resource Management and Operations,3.4,self,2025-03-21,Self assessment for Resource Management and Operations,
64,6,Expertise,Visual Design,5.0,self,2025-03-21,Self assessment for Visual Design,
65,6,Decision Making,Interaction Design,4.1,self,2025-03-21,Self assessment for Interaction Design,
66,6,Continuous Improvement,Design Systems and A11y,2.9,self,2025-03-21,Self assessment for Design Systems and A11y,
67,6,Accountability,UX Strategy,3.1,self,2025-03-21,Self assessment for UX Strategy,
68,6,Initiative,User Testing and Validation,4.3,self,2025-03-21,Self assessment for User Testing and Validation,
