
job_level,competency,skill,expected_score,organization_id
Associate,Technical Leadership,Team Mentorship,2.0,2
Associate,Technical Leadership,Technical Planning,2.0,2
Associate,Software Architecture,System Design,2.0,2
Associate,Software Architecture,Architecture Patterns,2.0,2
Associate,Development Practices,Code Quality,2.5,2
Associate,Development Practices,Testing Strategies,2.5,2
Associate,Problem Solving,Debug & Troubleshoot,2.5,2
Associate,Problem Solving,Performance Optimization,2.0,2
Associate,Communication,Technical Documentation,2.5,2
Associate,Communication,Stakeholder Communication,2.5,2
Mid Level,Technical Leadership,Team Mentorship,2.5,2
Mid Level,Technical Leadership,Technical Planning,3.0,2
Mid Level,Software Architecture,System Design,3.0,2
Mid Level,Software Architecture,Architecture Patterns,3.0,2
Mid Level,Development Practices,Code Quality,3.5,2
Mid Level,Development Practices,Testing Strategies,3.5,2
Mid Level,Problem Solving,Debug & Troubleshoot,3.5,2
Mid Level,Problem Solving,Performance Optimization,3.0,2
Mid Level,Communication,Technical Documentation,3.0,2
Mid Level,Communication,Stakeholder Communication,3.0,2
Senior,Technical Leadership,Team Mentorship,4.0,2
Senior,Technical Leadership,Technical Planning,4.0,2
Senior,Software Architecture,System Design,4.0,2
Senior,Software Architecture,Architecture Patterns,4.0,2
Senior,Development Practices,Code Quality,4.0,2
Senior,Development Practices,Testing Strategies,4.0,2
Senior,Problem Solving,Debug & Troubleshoot,4.0,2
Senior,Problem Solving,Performance Optimization,4.0,2
Senior,Communication,Technical Documentation,4.0,2
Senior,Communication,Stakeholder Communication,4.0,2
Staff,Technical Leadership,Team Mentorship,4.5,2
Staff,Technical Leadership,Technical Planning,4.5,2
Staff,Software Architecture,System Design,4.5,2
Staff,Software Architecture,Architecture Patterns,4.5,2
Staff,Development Practices,Code Quality,4.5,2
Staff,Development Practices,Testing Strategies,4.5,2
Staff,Problem Solving,Debug & Troubleshoot,4.5,2
Staff,Problem Solving,Performance Optimization,4.5,2
Staff,Communication,Technical Documentation,4.5,2
Staff,Communication,Stakeholder Communication,4.5,2
Principal,Technical Leadership,Team Mentorship,5.0,2
Principal,Technical Leadership,Technical Planning,5.0,2
Principal,Software Architecture,System Design,5.0,2
Principal,Software Architecture,Architecture Patterns,5.0,2
Principal,Development Practices,Code Quality,5.0,2
Principal,Development Practices,Testing Strategies,5.0,2
Principal,Problem Solving,Debug & Troubleshoot,5.0,2
Principal,Problem Solving,Performance Optimization,5.0,2
Principal,Communication,Technical Documentation,5.0,2
Principal,Communication,Stakeholder Communication,5.0,2
Manager,Technical Leadership,Team Mentorship,4.5,2
Manager,Technical Leadership,Technical Planning,4.5,2
Manager,Software Architecture,System Design,4.0,2
Manager,Software Architecture,Architecture Patterns,4.0,2
Manager,Development Practices,Code Quality,4.0,2
Manager,Development Practices,Testing Strategies,4.0,2
Manager,Problem Solving,Debug & Troubleshoot,4.5,2
Manager,Problem Solving,Performance Optimization,4.5,2
Manager,Communication,Technical Documentation,5.0,2
Manager,Communication,Stakeholder Communication,5.0,2
